time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-03-03 03:00:00 UTC+0000,2.0675,2.625,2.625,4.3
2021-03-03 07:00:00 UTC+0000,0.975,1.3,1.3,2.36
2021-03-03 11:00:00 UTC+0000,2.6475,3.005,3.005,8.78
2021-03-03 15:00:00 UTC+0000,0.565,0.71,0.71,0.955
2021-03-03 19:00:00 UTC+0000,0.935,1.035,1.035,1.51
2021-03-03 23:00:00 UTC+0000,4.435,4.5525,4.5525,9.4275
2021-03-04 03:00:00 UTC+0000,1.98,2.0675,2.0675,4.3175
2021-03-04 07:00:00 UTC+0000,0.8225,0.975,0.975,1.6525
2021-03-04 11:00:00 UTC+0000,2.0,2.6475,2.6475,5.25
2021-03-04 15:00:00 UTC+0000,0.525,0.565,0.565,0.75
2021-03-04 19:00:00 UTC+0000,0.83,0.935,0.935,1.25
2021-03-04 23:00:00 UTC+0000,4.0,4.435,4.435,6.7525
2021-03-05 03:00:00 UTC+0000,2.0,1.98,1.98,3.4825
2021-03-05 07:00:00 UTC+0000,0.8075,0.8225,0.8225,1.25
2021-03-05 11:00:00 UTC+0000,1.875,2.0,2.0,3.76
2021-03-05 15:00:00 UTC+0000,0.5125,0.525,0.525,0.75
2021-03-05 19:00:00 UTC+0000,0.69,0.83,0.83,1.2
2021-03-05 23:00:00 UTC+0000,3.88,5.85,4.0,5.85
2021-03-06 03:00:00 UTC+0000,1.8725,2.99,2.0,2.99
2021-03-06 07:00:00 UTC+0000,1.35,1.11,0.8075,1.11
2021-03-06 11:00:00 UTC+0000,5.355,4.545,1.875,4.545
2021-03-06 15:00:00 UTC+0000,1.1125,0.7175,0.5125,0.7175
2021-03-06 19:00:00 UTC+0000,1.07,1.815,0.69,1.815
2021-03-06 23:00:00 UTC+0000,4.25,7.25,3.88,7.25
2021-03-07 03:00:00 UTC+0000,2.5025,4.945,1.8725,4.945
2021-03-07 07:00:00 UTC+0000,2.38,2.5,1.35,2.5
2021-03-07 11:00:00 UTC+0000,5.71,6.1425,5.355,6.1425
2021-03-07 15:00:00 UTC+0000,1.2225,1.1125,1.1125,1.1125
2021-03-07 19:00:00 UTC+0000,0.9075,1.365,1.07,1.365
2021-03-07 23:00:00 UTC+0000,4.64,4.0,4.25,7.17
2021-03-08 03:00:00 UTC+0000,2.16,2.0,2.5025,3.3325
2021-03-08 07:00:00 UTC+0000,1.4,0.8075,2.38,1.7275
2021-03-08 11:00:00 UTC+0000,2.575,1.875,5.71,2.75
2021-03-08 15:00:00 UTC+0000,0.7475,0.5125,1.2225,0.8
2021-03-08 19:00:00 UTC+0000,0.735,0.69,0.9075,1.22
2021-03-08 23:00:00 UTC+0000,4.05,4.64,4.64,5.505
2021-03-09 03:00:00 UTC+0000,1.9725,2.16,2.16,2.625
